Pathway_ID	ATCC13985	ATCC43928	KBS0701	KBS0702	KBS0703	KBS0705	KBS0706	KBS0707	KBS0710	KBS0711	KBS0712	KBS0714	KBS0715	KBS0721	KBS0722	KBS0724	KBS0725	KBS0801	KBS0802	KBS0812
M00222	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00223	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0
M00225	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
M00226	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
M00228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00230	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0
M00231	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
M00232	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0
M00233	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
M00234	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1
M00235	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00236	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1
M00237	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0
M00238	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1
M00239	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00240	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
M00242	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1
M00244	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0
M00247	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
M00249	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00250	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	1	1	0
M00251	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
M00252	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
M00253	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
M00255	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00256	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1
M00259	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0
M00267	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1
M00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00269	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
M00270	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
M00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00273	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1
M00274	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
M00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00283	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M00299	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
M00300	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0
M00302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
M00308	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
M00314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00316	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
M00317	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00320	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00323	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0
M00324	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0
M00325	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0
M00326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00328	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00330	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0
M00331	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00332	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0
M00333	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
M00334	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0
M00338	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0
M00339	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M00342	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
M00343	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
M00344	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0
M00345	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1
M00346	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0
M00348	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
M00349	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0
M00358	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00361	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00362	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00365	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	1
M00366	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1
M00373	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00374	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
M00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
M00416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00417	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00434	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
M00435	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0
M00436	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1
M00438	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
M00439	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1
M00440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M00443	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0
M00444	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
M00445	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00446	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0
M00447	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
M00448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00449	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
M00450	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
M00451	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
M00452	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0
M00453	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0
M00454	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
M00455	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00456	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00457	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00459	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1
M00460	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
M00461	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0
M00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00471	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0
M00472	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
M00473	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0
M00474	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
M00475	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0
M00476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00477	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
M00478	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
M00479	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
M00481	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1
M00482	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00483	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
M00484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00491	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
M00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
M00493	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0
M00494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00497	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00498	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
M00499	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
M00501	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0
M00502	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0
M00504	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0
M00505	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00506	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1
M00507	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0
M00509	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
M00511	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
M00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M00514	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0
M00515	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
M00517	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00519	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1
M00520	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
M00523	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0
M00524	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0
M00529	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
M00530	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1
M00531	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
M00532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M00533	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0
M00537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
M00538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
M00540	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00545	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
M00546	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0
M00548	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00549	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00551	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
M00552	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0
M00554	0	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1
M00555	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1
M00565	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
M00566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00568	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0
M00569	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
M00571	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0
M00572	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
M00573	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1
M00575	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0
M00577	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1
M00579	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00580	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
M00581	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
M00582	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1
M00583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00585	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
M00586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00590	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00591	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
M00592	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00593	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0
M00595	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
M00600	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M00601	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
M00602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00603	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
M00605	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0
M00606	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
M00607	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0
M00609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00614	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00615	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1
M00616	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
M00618	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M00622	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0
M00628	1	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1
M00631	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1
M00632	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
M00637	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
M00638	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M00639	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
M00641	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0
M00642	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0
M00643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M00645	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
M00646	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
M00647	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00648	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
M00649	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
M00653	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00654	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
M00655	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
M00658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M00668	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0
M00669	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00670	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0
M00697	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0
M00698	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0
M00700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00701	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	0
M00702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M00704	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1
M00707	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1
M00709	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
