Species	locus_tag	refseq_id	annotation
KBS0711	FFI39_RS10855	WP020704252.1	methionine adenosyltransferase
KBS0711	FFI39_RS11405	WP002611629.1	substrate-binding domain-containing protein
KBS0711	FFI39_RS12105	WP005664034.1	F0F1 ATP synthase subunit alpha
KBS0711	FFI39_RS14900	WP010462720.1	ABC transporter permease
KBS0711	FFI39_RS16910	WP008452953.1	ethanolamine ammonia-lyase subunit EutB
KBS0711	FFI39_RS18850	WP017878982.1	amino-acid N-acetyltransferase
KBS0711	FFI39_RS19530	WP011979236.1	filamentous hemagglutinin N-terminal domain-containing protein
KBS0711	FFI39_RS21620	WP008446499.1	cation acetate symporter
KBS0711	FFI39_RS24185	WP008120030.1	urea ABC transporter substrate-binding protein
KBS0711	FFI39_RS24360	WP010399469.1	HAMP domain-containing protein
KBS0711	FFI39_RS25410	WP010399755.1	acetolactate synthase 3 catalytic subunit
KBS0711	FFI39_RS25470	WP020201433.1	iron-sulfur cluster assembly protein IscA
KBS0712	FFI97_RS29805	WP007851335.1	amidohydrolase
KBS0712	FFI97_RS07970	WP017331249.1	FAD-binding protein
KBS0712	FFI97_RS12345	WP012203717.1	SDR family oxidoreductase
KBS0712	FFI97_RS13210	WP003053566.1	isocitrate lyase
KBS0712	FFI97_RS30345	WP019655940.1	ATP-dependent chaperone ClpB
KBS0712	FFI97_RS03515	WP009124777.1	LamB/YcsF family protein
KBS0712	FFI97_RS21330	WP015014884.1	ATP-dependent Clp protease ATP-binding subunit ClpX
KBS0712	FFI97_RS08975	WP013541265.1	ABC transporter ATP-binding protein
KBS0712	FFI97_RS01120	WP013543193.1	proline--tRNA ligase
KBS0712	FFI97_RS27095	WP019651994.1	aldehyde dehydrogenase family protein
KBS0712	FFI97_RS14820	WP007837263.1	DUF802 domain-containing protein
KBS0712	FFI97_RS04075	WP007828806.1	PAS domain S-box protein
KBS0712	FFI97_RS19720	WP012746430.1	thioredoxin-disulfide reductase
KBS0712	FFI97_RS06845	WP013800395.1	methylcrotonoyl-CoA carboxylase
KBS0712	FFI97_RS33535	WP015866795.1	polyphosphate kinase 2
KBS0712	FFI97_RS16440	WP019658558.1	ATP-binding cassette domain-containing protein
KBS0712	FFI97_RS04575	WP018903541.1	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
KBS0712	FFI97_RS00020	WP003164005.1	glutathione S-transferase family protein
KBS0712	FFI97_RS19885	WP013538653.1	urocanate hydratase
KBS0712	FFI97_RS22270	WP013538795.1	thiamine pyrophosphate-binding protein
KBS0712	FFI97_RS04590	WP007835149.1	transaldolase
KBS0712	FFI97_RS01015	WP013543213.1	preprotein translocase subunit SecA
KBS0712	FFI97_RS14755	WP013540041.1	acyl-CoA dehydrogenase
KBS0712	FFI97_RS16815	WP013539022.1	hypothetical protein
KBS0712	FFI97_RS02280	WP006297699.1	elongation factor G
KBS0712	FFI97_RS02525	WP017328757.1	cytochrome P450
KBS0712	FFI97_RS23530	WP007828445.1	LLM class flavin-dependent oxidoreductase
KBS0712	FFI97_RS23905	WP009051660.1	phosphatase PAP2/dual specificity phosphatase family protein
KBS0712	FFI97_RS25905	WP018904684.1	amino acid adenylation domain-containing protein
KBS0712	FFI97_RS30140	WP013540507.1	oxidoreductase
KBS0712	FFI97_RS30400	WP007830805.1	pyridoxal phosphate-dependent aminotransferase
KBS0712	FFI97_RS33600	WP018906716.1	DUF962 domain-containing protein
